question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,C,medium
Which element has the chemical symbol 'Au'?,Silver,Gold,Aluminum,Copper,B,medium
In which year did World War II end?,1943,1944,1945,1946,C,easy
What is the capital of Japan?,Seoul,Beijing,Tokyo,Bangkok,C,easy
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,C,medium
What is the smallest prime number?,0,1,2,3,C,easy
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,D,medium
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Chloroplast,B,medium
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B,easy
What is the speed of light in vacuum?,299,792,458 m/s,199,792,458 m/s,399,792,458 m/s,99,792,458 m/s,A,hard
Which country is known as the 'Land of the Rising Sun'?,China,Japan,Korea,Thailand,B,easy
What is the largest mammal on Earth?,Elephant,Giraffe,Blue Whale,Great White Shark,C,medium
In which continent is Egypt located?,Europe,Asia,Africa,Australia,C,easy
What is the chemical formula for water?,H2O,CO2,O2,NaCl,A,easy
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Stephen Hawking,Marie Curie,B,medium
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,C,medium
Which planet is known as the 'Red Planet'?,Venus,Mars,Jupiter,Saturn,B,easy
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,C,medium
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Benjamin Franklin,Nikola Tesla,A,easy
What is the largest desert in the world?,Sahara Desert,Arabian Desert,Antarctica,Gobi Desert,C,medium
Which programming language is known as the 'language of the web'?,Python,JavaScript,Java,C++,B,medium